,Announcement_Date,PURPOSE,REMARKS
219,06-09-2018,Others,Maxim Integrated Partners with TCS on CRM Sales Transformation to Accele...
220,05-09-2018,Others,TCS Recognized as a Leader and Star Performer in Insurance IT Applicatio...
221,04-09-2018,Others,TCS Named a Leader in Cognitive IT Infrastructure Management Services by...
222,03-09-2018,Others,Amrita Vishwa Vidyapeetham Students Win TCS'' EngiNX 2018 for creating a...
223,31-08-2018,Others,Tata Consultancy Services Ltd has submitted to BSE a copy of Letter of O...
224,30-08-2018,Others,TCS Recognized as a Leader in Worldwide Manufacturing Customer Experienc...
225,27-08-2018,Others,TCS a Leader in IT Infrastructure Services Automation: Everest Group
226,20-08-2018,Others,TCS Recognized as a Leader for Fourth consecutive Time in Life Sciences ...
227,17-08-2018,Others,TCS Positioned as a Leader and Star Performer in Digital Workplace Servi...
228,14-08-2018,Others,TCS Named a Leader in KYC-Anti Money Laundering BPO Services by Everest ...
229,10-08-2018,Others,TCS to Support Participation by Indigenous Runners in Sydney's City2Surf...
230,08-08-2018,Others,ignioT - TCS'' cognitive automation product celebrates  3rd anniversary ...
231,07-08-2018,Others,"This has reference to our letter dated June 15, 2018 wherein we have inf..."
232,04-08-2018,Others,Tata Consultancy Services Limited is enclosed herewith the Postal Ballot...
233,02-08-2018,Others,TCS Named a Leader in Life Sciences Digital Services in North America by...
234,01-08-2018,Others,TCS Launches JileT to Help Digital Enterprises Embrace Agile Delivery at...
235,30-07-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI (...
236,19-07-2018,Others,TCS Positioned as a Leader in Life Sciences R&D BPO Services in IDC Mark...
237,18-07-2018,Others,"TCS Recognized as a Leader in Cloud Advisory, Assessment and Migration S..."
238,17-07-2018,Others,Total Creates a Digital Innovation Center in India in Partnership with T...
239,16-07-2018,Others,TCS wins The Best Innovation Centre by a Non-Financial Services Institut...
240,12-07-2018,Others,Impact of Business 4.0 recognised as TCS' #DigitalDirections campaign la...
241,11-07-2018,Others,Tata Consultancy Services Ltd has informed BSE that the Company has fixe...
242,06-07-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of the SE...
243,04-07-2018,Others,TCS Recognized as a Leader in Enterprise QA Services by Everest Group PE...
244,29-06-2018,Others,Pursuant to Regulation 29(1) of SEBI (Listing Obligations and Disclosure...
245,21-06-2018,Others,Pursuant to the requirement under the Regulation 30(5) of the SEBI (List...
246,19-06-2018,Others,TCS Wins 'Social Responsibility Award' Three Years in a Row
247,16-06-2018,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
248,12-06-2018,Others,Pursuant to Regulation 29(1)(b) of the SEBI (Listing Obligations and Dis...
249,11-06-2018,Others,New study reveals how European Utilities are collaborating with customer...
250,09-06-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
251,08-06-2018,Others,TCS Wins 2018 Pega Partner Excellence Award
252,07-06-2018,Others,Bahrain National Holding selects TCS BaNCS for Insurance to drive Innova...
253,06-06-2018,Others,TCS to Establish Center for Advanced Computing to Develop High Performan...
254,05-06-2018,Others,TCS BaNCS recognized as the number 2 top selling Universal Banking syste...
255,03-06-2018,Others,"Further to our letter no. TCS/Bonus/SE/46/2018-19 dated May 26, 2018 int..."
256,31-05-2018,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
257,27-05-2018,Others,Tata Consultancy Services Ltd has informed BSE regarding the details of ...
258,23-05-2018,Others,TCS Welcomes 400+ New Employees to St. Petersburg
259,21-05-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI L...
260,19-05-2018,Others,The twenty-third Annual General Meeting (AGM) of the Company will be hel...
261,15-05-2018,Others,"TCS Grows its Presence in Arkansas, Welcoming 200+ New Employees to Litt..."
262,10-05-2018,Others,'TCS Wins Six Steviesr at the 2018 American Business Awardsr'
263,08-05-2018,Others,TCS wins 'World Class Center' award by ABPM
264,02-05-2018,Others,TCS Wins GRC 20/20 Innovation and User Experience Awards
265,30-04-2018,Others,AI Pioneer Digitate Unveils Employee Engagement Survey
266,27-04-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of afores...
267,26-04-2018,Others,"This is further to our letter no. TCS/BM/12/SE/2018-19 dated April 19, 2..."
268,20-04-2018,Others,TCS Unveils Support Structure for TCS NAKAJIMA RACING's 2018 Super Formu...
269,17-04-2018,Others,TCS Opens North America Insurance Hub for Business Operations in Cedar R...
270,12-04-2018,Others,TCS Recognized as 'Star Performer of the Year' for Healthcare and Life S...
271,10-04-2018,Others,Tata Consultancy Services Limited is enclosing a certificate dated April...
272,04-04-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI (...
