,Announcement_Date,PURPOSE,REMARKS
221,16-06-2018,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
222,12-06-2018,Others,Pursuant to Regulation 29(1)(b) of the SEBI (Listing Obligations and Dis...
223,11-06-2018,Others,New study reveals how European Utilities are collaborating with customer...
224,09-06-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
225,08-06-2018,Others,TCS Wins 2018 Pega Partner Excellence Award
226,07-06-2018,Others,Bahrain National Holding selects TCS BaNCS for Insurance to drive Innova...
227,06-06-2018,Others,TCS to Establish Center for Advanced Computing to Develop High Performan...
228,05-06-2018,Others,TCS BaNCS recognized as the number 2 top selling Universal Banking syste...
229,03-06-2018,Others,"Further to our letter no. TCS/Bonus/SE/46/2018-19 dated May 26, 2018 int..."
230,31-05-2018,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
231,27-05-2018,Others,Tata Consultancy Services Ltd has informed BSE regarding the details of ...
232,23-05-2018,Others,TCS Welcomes 400+ New Employees to St. Petersburg
233,21-05-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI L...
234,19-05-2018,Others,The twenty-third Annual General Meeting (AGM) of the Company will be hel...
235,15-05-2018,Others,"TCS Grows its Presence in Arkansas, Welcoming 200+ New Employees to Litt..."
236,10-05-2018,Others,'TCS Wins Six Steviesr at the 2018 American Business Awardsr'
237,08-05-2018,Others,TCS wins 'World Class Center' award by ABPM
238,02-05-2018,Others,TCS Wins GRC 20/20 Innovation and User Experience Awards
239,30-04-2018,Others,AI Pioneer Digitate Unveils Employee Engagement Survey
240,27-04-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of afores...
241,26-04-2018,Others,"This is further to our letter no. TCS/BM/12/SE/2018-19 dated April 19, 2..."
242,20-04-2018,Others,TCS Unveils Support Structure for TCS NAKAJIMA RACING's 2018 Super Formu...
243,17-04-2018,Others,TCS Opens North America Insurance Hub for Business Operations in Cedar R...
244,12-04-2018,Others,TCS Recognized as 'Star Performer of the Year' for Healthcare and Life S...
245,10-04-2018,Others,Tata Consultancy Services Limited is enclosing a certificate dated April...
246,04-04-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI (...
247,30-03-2018,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
248,29-03-2018,Others,'TCS Recognized as a Leader and Star Performer in Mortgage BPO Services ...
249,26-03-2018,Others,Tata Consultancy Services Scotland launches local initiative to bridge t...
250,20-03-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI (...
251,15-03-2018,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
252,14-03-2018,Others,TCS Named as Best Company for Diversity and Inclusion
253,07-03-2018,Others,TCS ranked as the fastest growing IT services brand in 2018
254,06-03-2018,Others,Virgin Atlantic Airlines extends strategic partnership with TCS
255,05-03-2018,Others,TCS retains #1 position in Europe for customer satisfaction for the fift...
256,28-02-2018,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
257,23-02-2018,Others,TCS recognized as a Top Employer in Latin America for fourth year running
258,16-02-2018,Others,TCS recognized as a global Top Employer for the third consecutive year
259,15-02-2018,Others,TCS Recognized as a Thought Leader in Digital
260,06-02-2018,Others,TCS Recognized as a Leader in SAP HANA & S/4HANA Services by NelsonHall
261,31-01-2018,Others,The  Exchange had sought clarification from Tata Consultancy  Services  ...
262,30-01-2018,Others,The  Exchange has sought clarification from Tata Consultancy  Services  ...
263,24-01-2018,Others,Mesosphere  Partners with TCS to Enhance Data Services  and  Infrastruct...
264,23-01-2018,Others,TCS  Celebrates Five Years of Being Named a Leader in Capital  Markets  ...
265,22-01-2018,Others,TCS Recognized as Overall Leader in Life & Pensions Insurance BPO  Servi...
266,17-01-2018,Others,'TCS  Expands Partnership with Shure Inc. to Establish  Global  Developm...
267,16-01-2018,Others,TCS  Launches HOBS - A Next-Gen Digital Subscription Platform on  Micros...
268,15-01-2018,Others,TCS  Selected as Principal Technology Partner by Marks & Spencer  in  Th...
269,12-01-2018,Others,'Modell's  Sporting  Goods  Adopts Tata  Consultancy  Services'  OmniSto...
270,11-01-2018,Others,We would like to inform you that the Third Interim Dividend will be paid...
271,29-12-2017,Others,Tata Consultancy Services Ltd has informed BSE that a meeting of the  Bo...
272,21-12-2017,Others,TCS  Recognized  as a Leader in Gartner's Magic  Quadrant  for  Applicat...
273,12-12-2017,Others,TCS wins two awards in the Forbes 2017 Global 2000 list
274,07-12-2017,Others,TCS  Recognized  as a Leader and Star Performer in Finance  and  Account...
275,06-12-2017,Others,Panasonic   Corporation   Successfully  Transforms  Its   Global   Indir...
276,05-12-2017,Others,"TCS  & Cornell Tech Inaugurate the Tata Innovation Center,  Partnership ..."
277,01-12-2017,Others,TCS New York City Marathon App Wins Gold in Best in Biz Awards 2017
278,30-11-2017,Others,Global  Reporting Initiative (GRI) Appoints TCS Asia Pacific  Executive ...
279,27-11-2017,Others,'Singapore  Management University and Tata Consultancy Services renew  S...
280,23-11-2017,Others,Pursuant  to  Regulation 30 read with Schedule III Part A Para  A  of  S...
281,20-11-2017,Others,Fairfax and Tata Consultancy Services Partner on Three Major Running Eve...
282,17-11-2017,Others,TCS Collaborates with Zebra Technologies on New Global Development Center
283,16-11-2017,Others,Tata  Consultancy  Services Named Winner of CA  Technologies  2017  Part...
284,15-11-2017,Others,Transfer  of  Equity  shares  of the  Company  to  Investor  Education  ...
285,14-11-2017,Others,TCS  awarded  2017 'implementation partner' of the year by  Dell  Boomi ...
286,13-11-2017,Others,Tata  Consultancy  Services Deploys Unemployment Insurance  System  on  ...
287,10-11-2017,Others,TCS  Recognized as a Leader in Worldwide Cloud ERP Implementation  Servi...
288,09-11-2017,Others,TCS Recognized as Top 2017 Recruiter in Canada
289,02-11-2017,Others,TCS Wins Cloudera's Global Partner of the Year Award
290,31-10-2017,Others,TCS  Recognized  as  a Leader and Star Performer  in  Digital  Services ...
291,30-10-2017,Others,Malaysia Airlines Reaches the Cloud with Tata Consultancy Services
292,27-10-2017,Others,'TCS  and ACORD Collaborate on Digital Transformation Enhancements for  ...
293,24-10-2017,Others,TCS  Offers Public Cloud Security Services in Collaboration with Palo  A...
294,23-10-2017,Others,Tata  Consultancy Services Recognized as a Leader in Life  Sciences  Soc...
295,16-10-2017,Others,Press   Release   titled  'Dallas  Independent  School  District   Set  ...
296,12-10-2017,Others,"We  would  like  to inform you that at the Board Meeting  held  today,  ..."
297,06-10-2017,Others,The  Exchange has sought clarification from Tata Consultancy  Services  ...
298,05-10-2017,Others,We are sending herewith copy of the Press Release titled 'TCS Recognized...
299,03-10-2017,Others,Tata Consultancy Services Ltd has informed BSE that a meeting of the  Bo...
300,04-09-2017,Others,In  terms  of  Regulation 30 of SEBI (Listing  Obligations  and  Disclos...
301,27-07-2017,Others,Pursuant to the requirement under the Regulation 30(5) of the SEBI (List...
302,20-07-2017,Others,Pursuant  to Regulation 30 read with Schedule III Part A Para A of  SEBI...
303,27-06-2017,Others,Pursuant  to Regulation 30 read with Schedule III Part A Para A of  SEBI...
304,19-06-2017,Others,Pursuant  to Regulation 30 of the SEBI (Listing Obligations and  Disclos...
305,09-06-2017,Others,"Completion  of extinguishment/ destruction of a total of 5,61,40,350  (F..."
306,07-06-2017,Others,Pursuant to Regulation 19(7) of the Securities and Exchange Board of  In...
307,15-05-2017,Others,"Updates  regarding the buyback upto 5,61,40,351 (Five crore sixty one  l..."
308,24-04-2017,Others,"Sub:  Financial  Results  for the year ended March  31,  2017  The  audi..."
309,20-04-2017,Others,"We would like to inform that at the Board Meeting held today, the Direct..."
