,Announcement_Date,PURPOSE,REMARKS
157,30-01-2012,Others,Bombay  Dyeing  &  Manufacturing  Company Ltd has  informed  BSE  that  ...
158,26-12-2011,Others,Jehreen Investment Pvt Ltd has submitted the disclosure under Regulation...
159,28-11-2011,Others,Lochness Investment Pvt Ltd has submitted the disclosure under Regulatio...
160,25-11-2011,Others,N W Exports Ltd has submitted the disclosure under Regulation 31(1) and ...
161,18-10-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
162,19-09-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that the memb...
163,06-09-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
164,05-09-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
165,02-09-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
166,25-08-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
167,09-08-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
168,04-08-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
169,06-06-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
170,26-05-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
171,05-05-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
172,30-03-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that the Comm...
173,01-03-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
174,16-02-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
175,07-02-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
176,04-02-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
177,28-01-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
178,14-01-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
179,07-01-2011,Others,Bombay Dyeing & Manufacturing Company Ltd has submitted the disclosure u...
