,Announcement_Date,PURPOSE,REMARKS
179,05-08-2018,Others,Investor meeting details
180,29-07-2018,Others,"Infosys to Expand Presence in Noida, Uttar Pradesh"
181,25-07-2018,Others,Grant of Stock incentives to employees
182,24-07-2018,Others,"In continuation to our letter dated July 18, 2018 with regard to the Not..."
183,19-07-2018,Others,"Infosys Expands its Global Network of Digital Studios, Announces the Ope..."
184,18-07-2018,Others,"Please find enclosed the transcripts of the common TV address, press cal..."
185,16-07-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
186,10-07-2018,Others,"Infosys to Announce First Quarter Results on July 13, 2018"
187,05-07-2018,Others,Infosys Partners with Siemens to Develop Advanced IoT Engineering Soluti...
188,27-06-2018,Others,"Transcript of the AGM held on June 23, 2018"
189,26-06-2018,Others,Infosys Ltd has informed BSE regarding the details of Voting results of ...
190,24-06-2018,Others,37th Annual General Meeting ('AGM') and voting results.
191,19-06-2018,Others,Infosys Expands Footprint in France by Establishing State-of-the-Art Dig...
192,15-06-2018,Others,Trading window closure intimation
193,13-06-2018,Others,Infosys and Rhode Island School of Design Launch Pioneering Design Partn...
194,11-06-2018,Others,INFOSYS ANNOUNCES THE APPROVAL FOR VOLUNTARY DELISTING OF ITS AMERICAN D...
195,07-06-2018,Others,Investor meeting transcript
196,06-06-2018,Others,Investor presentation
197,21-05-2018,Others,"Notice of the 37th Annual General Meeting to be held on June 23, 2018"
198,11-05-2018,Others,Ravi Venkatesan Steps off Infosys Board to Pursue Exciting New Opportunity
199,10-05-2018,Others,Infosys Releases New Capabilities for its AI-powered Enterprise Service ...
200,04-05-2018,Others,Please refer the attachment
201,03-05-2018,Others,"Myawaddy Bank, Myanmar Selects Infosys Finacle to Power Its Digital Tran..."
202,27-04-2018,Others,Press Release titled Infosys to Establish U.S. Education Center in India...
203,19-04-2018,Others,"Transcripts of the press call, comman tv call and the earnings call held..."
204,18-04-2018,Others,News Clarification with respect to news article appearing on The Economi...
205,16-04-2018,Others,The Exchange has sought clarification from Infosys Ltd with respect to n...
206,10-04-2018,Others,Calix and Infosys Enter Strategic Co-Creation Partnership to Accelerate ...
207,22-03-2018,Others,Infosys Invests an Additional USD 1.5 Million in Waterline Data Science
208,16-03-2018,Others,This is to inform you that a meeting of the Board of Directors of the Co...
209,12-03-2018,Others,Infosys Announces its Intent to Voluntarily Delist from Euronext Paris a...
210,08-03-2018,Others,The Exchange had sought clarification from Infosys Ltd with respect to n...
211,06-03-2018,Others,"This is to inform that the Company has allotted 1,196 equity shares unde..."
212,05-03-2018,Others,Infosys Selected by Allison Transmission to Provide Next-Generation Infr...
213,28-02-2018,Others,Infosys Finacle Inducts Moneythor into its FinTech Engagement Program
214,24-02-2018,Others,Infosys Ltd has informed BSE regarding the details of Voting results of ...
215,22-02-2018,Others,The Exchange has received the disclosure under Regulation 29(1) of SEBI ...
216,21-02-2018,Others,Infosys named a Leader in Applications Management and Digital Operations...
217,20-02-2018,Others,Infosys and PTC launch Industrial IoT Center of Excellence
218,19-02-2018,Others,Infosys Recognised as a Top Employer in Europe
219,05-02-2018,Others,"The  Company  has  allotted  142,309 equity shares  under  the  2015  St..."
220,23-01-2018,Others,Infosys  Research:  Business Leaders Adapt as Enterprise  AI  Moves  Bey...
221,22-01-2018,Others,Infosys  Partners  with  A.S.  Watson  Group  for  Technology  and  Digi...
222,19-01-2018,Others,Gartner  Positions  Infosys as a Leader in Magic Quadrant  for  Applicat...
223,16-01-2018,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
224,10-01-2018,Others,Infosys Prize for Six Top Researchers in Science and Humanities
225,09-01-2018,Others,Infosys Announces the Signing of an Advance Pricing Agreement ('APA')  w...
226,05-01-2018,Others,Proximus  Partners  with Infosys to Simplify and  Digitize  its  Enterpr...
227,04-01-2018,Others,Please  find enclosed the notice of Postal Ballot seeking approval  of  ...
228,29-12-2017,Others,"With  reference to the announcement made by Infosys dated July 21, 2015 ..."
229,26-12-2017,Others,Post Buyback Public Announcement
230,21-12-2017,Others,Skava joins HPE-driven Cloud28+ to offer new hybrid cloud retail solutions
231,04-12-2017,Others,Infosys appoints Salil S. Parekh as CEO and Managing Director
232,29-11-2017,Others,Press  release on Infosys Finacle Launches Blockchain Based Trade  Finan...
233,27-11-2017,Others,Infosys  Ltd has informed BSE regarding a Press Release dated November  ...
234,20-11-2017,Others,Kotak  Mahindra  Capital  Company  Limited & J.P.  Morgan  India  Pvt.  ...
235,17-11-2017,Others,"Letter of offer, tender forms and schedule of activities for buyback"
236,07-11-2017,Others,Please find enclosed the press release titled 'Infosys and the Adecco Gr...
237,24-10-2017,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
238,11-10-2017,Others,Infosys  Ltd  has informed BSE regarding the details of Voting  results ...
239,10-10-2017,Others,"In continuation to our letter dated September 1, 2017 titled 'Postal Bal..."
240,06-10-2017,Others,As attached
241,05-10-2017,Others,KONE Selects Infosys to support its IT Transformation
242,03-10-2017,Others,As attached
243,21-09-2017,Others,As attached
244,11-09-2017,Others,Postal ballot updates
245,05-09-2017,Others,Infosys  Ltd has informed BSE that a meeting of the Board of  Directors ...
246,30-08-2017,Others,The Exchange has sought clarification from Infosys Ltd with respect to n...
247,28-08-2017,Others,As enclosed
248,24-08-2017,Others,Attached
249,21-08-2017,Others,The Board in its meeting held today transacted the enclosed matters.
250,18-08-2017,Others,Infosys  Ltd  has informed BSE that the Board of Directors of  the  Comp...
251,17-08-2017,Others,ATP  AND  INFOSYS  LAUNCH  NEW  PLAYERZONE  BRINGING  AN  ENHANCED  DIGI...
252,27-07-2017,Others,Please  find  enclosed press release titled - Infosys Wins  Three  Catal...
253,24-07-2017,Others,Please  find enclosed the Press Release titled - 'Infosys Finacle  named...
254,14-07-2017,Others,Infosys  Ltd has informed BSE about Outcome of Board Meeting held  on  J...
255,11-07-2017,Others,Please  find  attached  the press release titled- EdgeVerve  to  Offer  ...
256,07-07-2017,Others,"In  continuation  to  our letter dated July 6, 2017 with  regard  to  Bo..."
257,04-07-2017,Others,Please  find enclosed the Press Release titled - 'Active AI  Joins  Info...
258,27-06-2017,Others,36th Annual General Meeting (`AGM') and voting results.
259,23-06-2017,Others,Vesting and Exercise of Restricted Stock Units (RSUs)
260,14-06-2017,Others,Please  find enclosed the press release titled 'Infosys Annual Report  2...
261,09-06-2017,Others,"Please  find  attached,  the Company's statement. This will  also  be  m..."
262,08-06-2017,Others,"Please find attached, the Company Statement. This is also made available..."
263,03-05-2017,Others,The  press  release titled 'The Commercial Bank  Successfully  Completes...
264,02-05-2017,Others,The  press release titled 'Infosys Foundation USA Commits Funding to  Tr...
265,25-04-2017,Others,The  press  release titled 'Infosys Expands Footprint in Eastern  Europe...
266,13-04-2017,Others,"In  continuation  to  our letter today on the above  subject,  please  f..."
267,30-03-2017,Others,Press  release  titled  'Infosys  Achieves Cloud  Elite  Status  in  Ora...
268,17-03-2017,Others,"In  continuation  to our letter dated March 14, 2017 with regard  to  Bo..."
269,16-03-2017,Others,Press Release
270,14-03-2017,Others,Meeting  of  the  Board of Directors of the Company will  be  held  at  ...
271,08-03-2017,Others,Please find enclosed the press release titled 'Infosys Public Services  ...
272,02-03-2017,Others,"In continuation to our letter dated February 23, 2017 regarding the  Pos..."
273,23-02-2017,Others,Infosys  Ltd  has  informed  BSE about Outcome of  Board  Meeting  held ...
274,20-01-2017,Others,Infosys  Ltd has submitted to BSE the Shareholding Pattern for  the  Per...
275,17-01-2017,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
276,16-01-2017,Others,Infosys Ltd has informed BSE about Outcome of Board Meeting held on Janu...
